Contributor,Phylum,Class,Family,IUCN_Names,ScientificName_accepted,AphiaID_accepted,Maximum.body.size,Maximum.body.size.reference,Maximum.body.size.certainty,Body.size,Body.size.reference,Body.size.certainty,Body.form,Body.form.reference,Body.form.certainty,Skeleton.material,Skeleton.material.reference,Skeleton.material.certainty,Motility,Motility.reference,Motility.certainty,Migration,Migration.reference,Migration.certainty,Environmental.position,Environmental.position.reference,Environmental.position.certainty,Substratum.affinity,Substratum.affinity.reference,Substratum.affinity.certainty,Distribution,Distribution.reference,Distribution.certainty,Depth.range,Depth.range.reference,Depth.range.certainty,Feeding.structure,Feeding.structure.reference,Feeding.structure.certainty,Feeding.mode,Feeding.mode.reference,Feeding.mode.certainty,Trophic.position,Trophic.position.reference,Trophic.position.certainty,Developmental.mechanism,Developmental.mechanism.reference,Developmental.mechanism.certainty,Reproductive.type,Reproductive.type.reference,Reproductive.type.certainty,Fertility.type,Fertility.type.reference,Fertility.type.certainty,Reproductive.frequency,Reproductive.frequency.reference,Reproductive.frequency.certainty,Growth.rate,Growth.rate.reference,Growth.rate.certainty,Age.at.sexual.maturity,Age.at.sexual.maturity.reference,Age.at.sexual.maturity.certainty,Life.span,Life.span.reference,Life.span.certainty,Regeneration.capacity,Regeneration.capacity.reference,Regeneration.capacity.certainty,Sociability,Sociability.reference,Sociability.certainty,Protection,Protection.reference,Protection.certainty,Diel.activity.pattern,Diel.activity.pattern.reference,Diel.activity.pattern.certainty,Habitat.complexity,Habitat.complexity.reference,Habitat.complexity.certainty,Notes
Kamilla Hindmarch ,Chordata,Aves,Alcidae,Ptychoramphus aleuticus,Ptychoramphus aleuticus,344115,360,"Planet of Birds, https://planetofbirds.com/. Date accessed: 12/11/24",2,100 - <1000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2061",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2064",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Ocean basin/realms,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2024",3,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore; Saprophagous,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",2,None,Phylogenetic contraint; common knowledge,3,Gregarious; Solitary,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Laridae,Rissa brevirostris,Rissa brevirostris,343923,91,,0,100 - <1000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2062",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",1,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2065",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Ocean basin/realms,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2024",3,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,4,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",1,Medium-long,An Age: The Animal Ageing and Longevity Database. https://genomics.senescence.info/. Date accessed: 05/11/24.,2,None,Phylogenetic contraint; common knowledge,3,Gregarious; Solitary,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",2,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Laridae,Rissa tridactyla,Rissa tridactyla,137156,970,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 12/11/2024",2,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2063",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2066",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2024",3,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279, Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Omnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,4,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,Medium,"Hatch, S., Roberts, B., Fadely, B. Adult survival of Black-legged Kittiwakes Rissa tridactyla in a Pacific colony, 135(3): 247-254 (1993).",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Stercorariidae,Stercorarius longicaudus,Stercorarius longicaudus,137171,1170,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 12/11/2024",2,1000 - <10000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2064",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2067",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,,,0,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279, Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,4,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",2,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,Animal Diversity Web. https://animaldiversity.org/. Date accessed: 07/11/24,3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Stercorariidae,Stercorarius parasiticus,Stercorarius parasiticus,137172,1180,"Planet of birds, https://planetofbirds.com/. Date accessed: 12/11/24",3,1000 - <10000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2065",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2068",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,,,0,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279, Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,5,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Gregarious; Solitary,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Nature Serve Explorer, https://explorer.natureserve.org/. Date accessed: 07/11/24",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Stercorariidae,Stercorarius pomarinus,Stercorarius pomarinus,137173,1380,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 12/11/2024",3,1000 - <10000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2066",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2069",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,,,0,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279, Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 21/10/2024",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Nature Serve Explorer, https://explorer.natureserve.org/. Date accessed: 07/11/24",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Laridae,Sterna paradisaea,Sterna paradisaea,137165,750,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 12/11/2024",3,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2067",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2070",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Global,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2024",2,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,Medium-long,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",3,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"Animalia, https://animalia.bio/common-gull. Date accessed: 07/11/24",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Alcidae,Synthliboramphus antiquus,Synthliboramphus antiquus,344120,430,"Planet of birds, https://planetofbirds.com/. Date accessed: 12/11/24",3,100 - <1000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2068",3,Horizontal; none,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",2,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2071",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Regional,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"Elliott, K., Shoji, A. DIVE BEHAVIOUR OF TWO SYMPATRIC, PLANKTIVOROUS ALCIDS, LASKEEK BAY CONSERVATION SOCIETY SCIENTIFIC REPORT, 2008 and 2009 (2009). Laskeek Bay Conservation Society. 39-42
",3,Hard structures,Kamilla Hindmarch,3,Predator; Scavenger,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore; Saprophagous,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,Medium; Medium-long,"Shoji, A., Gaston, A. A NEW LONGEVITY RECORD FOR THE ANCIENT MURRELET SYNTHLIBORAMPHUS ANTIQUUS, Marine Ornithology 36: 197–198 (2008).",2,None,Phylogenetic contraint; common knowledge,3,Gregarious,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal,"BC Conservation Data Centre: Species Summary, https://a100.gov.bc.ca/. Date accessed: 07/11/24",2,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Alcidae,Synthliboramphus hypoleucus,Synthliboramphus hypoleucus,344122,430,"Planet of birds, https://planetofbirds.com/. Date accessed: 12/11/24",3,100 - <1000 mm,"Sibley, D. (2016). Birds of Western North America, Helm Field Guides (2nd ed.). London, UK: Bloomsbury Publishing Plc.",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2069",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2072",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Regional,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,0-50m,"HAMILTON, C.D., GOLIGHTLY, R.T. & TAKEKAWA, J. Y. CHARACTERISTICS OF DIVING IN
RADIO-MARKED XANTUS’S MURRELETS. Marine Ornithology 33: 155–159.",1,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",1,,,0,None,Phylogenetic contraint; common knowledge,3,Gregarious; Solitary,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
Kamilla Hindmarch ,Chordata,Aves,Alcidae,Synthliboramphus scrippsi,Synthliboramphus scrippsi,1348513,400,"Planet of birds, https://planetofbirds.com/. Date accessed: 12/11/24",2,100 - <1000 mm,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 31/10/2024",3,Ellipsoid,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 14/09/2024",3,Bone mineral,"Kamilla Hindmarch, Cerren Richards",3,Flyer;Drifter/rafter;Swimmer,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 06/09/2070",3,Horizontal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 16/10/2024",3,Aerial;Surface; Pelagic,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 27/09/2073",3,Air; Water Column,"IUCN Red List, https://www.iucnredlist.org/species/22698350/181896323#geographic-range, Date accessed: 16/10/2024",3,Regional,"Birdlife International, https://datazone.birdlife.org/. Date accessed: 11/11/24",3,,,0,Hard structures,Kamilla Hindmarch,3,Predator,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Carnivore,"Richards, C., Cook, R., Bates, A. (2021). Biological traits of seabirds predict extinction risk and vulnerability to anthropogenic threats. Global Ecology and Biogeography, Journal-article, https://doi.org/10.1111/geb.13279",3,Direct,Kamilla Hindmarch,3,Sexual dioecious,Kamilla Hindmarch,3,External with parental care,Phylogenetic contraint; common knowledge,3,Iteroparity non-continuous,Phylogenetic contraint; common knowledge,3,Fast,"phylogenetic contraint, common knowledge",3,3,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",1,Medium,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 04/11/2024",2,None,Phylogenetic contraint; common knowledge,3,Gregarious; Solitary,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 02/11/2024",3,No protection,Phylogenetic contraint; common knowledge,3,Diurnal; Nocturnal,"Birds of the world, https://birdsoftheworld-org.ezproxy.library.uvic.ca. Date accessed: 05/11/2024",3,None,Phylogenetic contraint; common knowledge,3,
